Zagreb	Croatia	54.41298082378286
Addis Ababa	Ethiopia	62.95038499230032
Bishkek	Kyrgyzstan	53.47416841844964
Bujumbura	Burundi	73.68981900452471
Helsinki	Finland	42.672104351591095
Algiers	Algeria	64.37253818654507
Bangkok	Thailand	83.91882699982649
Cairo	Egypt	72.67604855315933
Windhoek	Namibia	69.32590835454769
Rabat	Morocco	63.38186152345862
Paris	France	53.93095807082339
Hanoi	Vietnam	75.41495124593709
Tunis	Tunisia	67.08807409012111
Beijing	China	55.202587420158
Vientiane	Laos	81.05564603691633
Tirana	Albania	61.135237970711394
Freetown	Sierra Leone	81.71703655352484
Bissau	Guinea-Bissau	82.33553368075677
Tashkent	Uzbekistan	60.52799476325585
Dublin	Ireland	49.531644473313804
Budapest	Hungary	51.57030421132389
Lilongwe	Malawi	70.03199545626656
Maputo	Mozambique	74.74497458410396
Kampala	Uganda	72.58953292793392
Athens	Greece	65.2547559055116
Tokyo	Japan	61.566027931146316
Minsk	Belarus	45.39047039291643
Pyongyang	North Korea	51.873763964163494
Vienna	Austria	51.46943722943731
Islamabad	Pakistan	71.49295790416487
Brussels	Belgium	51.5118640398354
Dakar	Senegal	76.33087262872628
Manila	Philippines	82.36449479618376
Conakry	Guinea	81.58525085369075
Prague	Czech Republic	48.079449978345544
Antananarivo	Madagascar	65.45140391128601
Seoul	South Korea	53.40429932856834
Libreville	Gabon	79.87851362133846
Bangui	Central African Republic	78.82184718529616
Rome	Italy	60.724715816823725
Nouakchott	Mauritania	78.11336918000707
Dhaka	Bangladesh	78.72032520325234
Kuala Lumpur	Malaysia	82.29881253435903
Jakarta	Indonesia	83.36622922134751
Sofia	Bulgaria	51.6243039116221
Banjul	Gambia	79.01938748685622
Nicosia	Cyprus	67.97264196342637
Canberra	Australia	56.4014755343388
Tbilisi	Georgia	56.34484272128731
Nairobi	Kenya	67.490946774996
Singapore	Singapore	82.24119748809011
Copenhagen	Denmark	47.40284693656621
Lusaka	Zambia	70.08715898400767
Manama	Bahrain	81.21907752273744
Abu Dhabi	United Arab Emirates	82.85980285961872
Skopje	Macedonia	54.73791345841007
Damascus	Syria	63.77238870792596
Bern	Switzerland	49.835405815972415
Amman	Jordan	64.72552523283531
Santo Domingo	Dominican Republic	79.72183719017981
Guatemala City	Guatemala	66.8639035591273
Oslo	Norway	41.7993530884807
Mexico City	Mexico	62.661180931744305
Lisbon	Portugal	62.625254825417265
Muscat	Oman	82.96607022282267
Moscow	Russia	42.39905793178134
Madrid	Spain	58.91773111062988
Havana	Cuba	75.84939520562996
Bucharest	Romania	52.83972068853537
Riga	Latvia	45.36726896701871
Stockholm	Sweden	45.60851294270562
Warsaw	Poland	48.25283672585513
Doha	Qatar	82.96221692491069
Ottawa	Canada	44.22525751375754
Bridgetown	Barbados	81.0710863576477
Bratislava	Slovakia	51.96782542776701
Beirut	Lebanon	70.31200086805568
Nassau	Bahamas	78.56622639449847
Buenos Aires	Argentina	62.91649875419788
Riyadh	Saudi Arabia	79.34457805221518
Georgetown	Guyana	83.16877761413849
Ankara	Turkey	51.39081853616294
Hamilton	Bermuda	71.59983807124873
La Paz	Bolivia	45.50655826558265
