Zagreb	Croatia	55.30619235836633
Addis Ababa	Ethiopia	63.10737534626037
Bishkek	Kyrgyzstan	53.44500823723231
Helsinki	Finland	43.163750000000036
Algiers	Algeria	64.48960184271166
Cairo	Egypt	73.25031280869278
Windhoek	Namibia	69.95794645882745
Rabat	Morocco	63.02972706346612
Paris	France	53.61886168100602
Hanoi	Vietnam	75.96886326194401
Tunis	Tunisia	67.21899275839377
Beijing	China	55.244736842105475
Vientiane	Laos	81.28549819138446
Tirana	Albania	60.471306350773155
Bissau	Guinea-Bissau	81.82107034668454
Tashkent	Uzbekistan	60.34828947368407
Dublin	Ireland	49.45705360078921
Budapest	Hungary	52.65348684210529
Lilongwe	Malawi	70.94086444007858
Maputo	Mozambique	74.71496142234133
Kampala	Uganda	72.97441217150755
Athens	Greece	60.161006289308204
Tokyo	Japan	61.812894736842146
Minsk	Belarus	45.73790436005624
Pyongyang	North Korea	51.89014827018109
Vienna	Austria	52.4411107459744
Islamabad	Pakistan	71.22987377279101
Brussels	Belgium	51.643453947368506
Dakar	Senegal	76.27234112611143
Manila	Philippines	83.04326638129747
Conakry	Guinea	81.19447004608288
Prague	Czech Republic	49.02848684210529
Antananarivo	Madagascar	64.74485366655693
Seoul	South Korea	53.84034221783483
Libreville	Gabon	80.09996699669948
Bangui	Central African Republic	79.14295257181037
Nouakchott	Mauritania	78.24927400468381
Kuala Lumpur	Malaysia	82.70003290556127
Jakarta	Indonesia	83.5257265521797
Sofia	Bulgaria	52.699013157894754
Banjul	Gambia	78.76017934241095
Canberra	Australia	56.78792763157899
Nairobi	Kenya	67.76919596240869
Singapore	Singapore	82.51095394736832
Copenhagen	Denmark	48.07549342105259
Lusaka	Zambia	69.9106927710844
Manama	Bahrain	81.87828947368403
Abu Dhabi	United Arab Emirates	83.57388870596004
Skopje	Macedonia	55.04769736842104
Damascus	Syria	64.17253147779999
Bern	Switzerland	49.34593616321164
Amman	Jordan	65.08364055299545
Santo Domingo	Dominican Republic	80.32711318051574
Guatemala City	Guatemala	67.10141680395388
Oslo	Norway	42.11104899704055
Mexico City	Mexico	63.40325872284407
Lisbon	Portugal	61.60056013179577
Muscat	Oman	82.45228290062651
Moscow	Russia	43.1045080618625
Madrid	Spain	59.495463510848246
Havana	Cuba	75.91240947992108
Bucharest	Romania	53.67303518579428
Rome	Italy	61.32366863905317
Riga	Latvia	45.56058514135439
Stockholm	Sweden	45.73411184210525
Warsaw	Poland	49.48690789473692
Doha	Qatar	83.67211063549567
Ottawa	Canada	42.56816143497757
Bridgetown	Barbados	80.8600636074513
Bratislava	Slovakia	52.8990460526316
Beirut	Lebanon	70.76149785549312
Nassau	Bahamas	78.94090909090897
Buenos Aires	Argentina	63.65813877014138
Riyadh	Saudi Arabia	79.67578150707476
Ankara	Turkey	52.141447368421055
La Paz	Bolivia	46.13583662714092
